time,US,JAP,England,DG,France,ITALY,JIA
1971/1/31,5.29,6.5,8.49,4.01,4.7,5.22,-3.59
1971/2/28,5,6,8.52,4.67,4.89,4.77,-4.55
1971/3/31,4.71,5.3,8.76,4.65,4.97,4.8,-3.06
1971/4/30,4.16,5.8,9.42,4.85,5.05,4.64,-3.02
1971/5/31,4.4,6.4,9.82,5.07,5.33,4.78,-0.51
1971/6/30,4.64,6.9,10.29,5.27,5.31,4.69,-1.52
1971/7/31,4.36,6.9,10.15,5.71,5.6,4.81,0.51
1971/8/31,4.62,7,10.3,5.71,5.58,4.82,2.51
1971/9/30,4.08,8,9.89,5.93,5.65,4.87,3.09
1971/10/31,3.81,6.5,9.37,5.91,5.83,4.91,3.65
1971/11/30,3.28,5.5,9.24,5.66,5.81,4.58,5.29
1971/12/31,3.27,4.8,9.03,5.41,5.99,4.61,8.02
1972/1/31,3.27,4.1,8.16,5.57,5.66,4.67,8.51
1972/2/29,3.51,4.5,8.12,5.1,5.73,4.85,8.99
1972/3/31,3.5,5.3,7.58,5.29,5.8,4.73,7.37
1972/4/30,3.49,5,6.31,5.04,5.58,4.62,6.74
1972/5/31,3.23,5.2,6.14,4.82,5.44,4.98,5.15
1972/6/30,2.71,4.8,6.09,4.8,5.61,5.45,5.15
1972/7/31,2.95,5,5.8,5.2,5.97,5.53,7.04
1972/8/31,2.94,5.9,6.57,5.2,6.13,6,7.35
1972/9/30,3.19,3.9,7.01,6.02,6.29,6.34,9.5
1972/10/31,3.42,4.4,7.86,5.99,6.63,6.97,9.05
1972/11/30,3.67,5.1,7.63,6.39,6.88,7.31,9.05
1972/12/31,3.41,5.7,7.65,6.37,6.94,7.38,8.42
1973/1/31,3.65,6.7,7.74,6.29,6.65,8.09,9.8
1973/2/28,3.87,7,7.88,6.46,6.34,8.7,10.68
1973/3/31,4.59,8.7,8.17,6.63,6.4,9.59,11.76
1973/4/30,5.06,9.4,9.21,6.8,6.74,10.5,13.59
1973/5/31,5.53,10.8,9.47,7.6,7.16,11.13,15.69
1973/6/30,6,11,9.29,7.77,7.39,11.52,18.14
1973/7/31,5.73,11.7,9.44,7.31,7.42,11.75,15.49
1973/8/31,7.38,11.9,8.88,7.31,7.56,11.77,15.98
1973/9/30,7.36,14.2,9.25,6.26,7.86,11.3,16.44
1973/10/31,7.8,13.9,9.9,6.63,8.06,11,17.05
1973/11/30,8.25,15.2,10.34,7.36,8.36,11.44,17.97
1973/12/31,8.71,18.3,10.58,7.92,8.48,12.52,16.89
1974/1/31,9.39,21.9,11.97,7.44,10.3,13.17,16.07
1974/2/28,10.02,24.9,13.14,7.78,11.49,14.3,16.67
1974/3/31,10.39,22.8,13.49,7.16,12.2,15.99,18.42
1974/4/30,10.09,23.7,15.17,7.3,13.23,16.25,15.38
